sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;variedades;elchagualo;3;10;2018-05-25;7800000;microempresarial
femenino;comercio;miscelanea;popular;1;1;2016-10-26;4000000;microempresarial
femenino;industria;fabricadearepas;sanjavierno.1;3;13;2016-06-15;6500000;microempresarial
femenino;industria;fabricade;aranjuez;2;4;2018-03-22;3400000;microempresarial
masculino;comercio;comidasrapidas;popular;2;1;2017-11-22;4000000;microempresarial
masculino;comercio;tienda;picacho;1;6;2018-05-04;7000000;microempresarial
femenino;industria;fabricade;campovaldesno.1;3;4;2019-01-25;5000000;microempresarial
femenino;servicio;tienda;enciso;2;8;2017-04-25;5000000;microempresarial
femenino;industria;fabricade;santacruz;2;2;2018-07-17;7800000;microempresarial
masculino;industria;fabricade;trinidad;3;15;2016-05-19;3000000;microempresarial
femenino;comercio;fabricadearepas;barriocaicedo;2;9;2019-03-20;4000000;microempresarial
femenino;industria;fabricade;robledo;2;7;2018-08-17;5000000;microempresarial
femenino;comercio;variedades;elpoblado;3;14;2017-06-16;7000000;microempresarial
femenino;comercio;comidasrapidas;santacruz;2;2;2018-12-03;6000000;microempresarial
masculino;comercio;almacenderopaen;santacruz;2;2;2019-02-05;8000000;microempresarial
femenino;industria;carpinteria;cabecerasanantonio;2;80;2016-09-15;6500000;microempresarial
masculino;servicio;recreativoeducativo;cabecerasancristobal;3;60;2019-02-06;7800000;microempresarial
femenino;industria;fabricade;manriquecentralno.1;2;4;2019-06-27;8281000;microempresarial
masculino;industria;fabricaderepuestos;lafloresta;2;12;2018-07-09;7800000;microempresarial
femenino;comercio;tienda;lafrancia;2;2;2019-04-08;6000000;microempresarial
masculino;servicio;comidasrapidas;castilla;2;5;2016-04-26;6890000;microempresarial
femenino;servicio;distribuidorade;sanjavierno.1;2;13;2017-04-03;7000000;microempresarial
masculino;industria;fabricaderepuestos;guayabal;3;15;2017-12-29;7300000;microempresarial
femenino;industria;fabricade;manriquecentralno.1;2;4;2018-08-21;3000000;microempresarial
femenino;comercio;almacenderopaen;20dejulio;1;13;2018-06-08;2000000;microempresarial
masculino;comercio;variedades;lamilagrosa;3;9;2018-03-09;5000000;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;2018-09-24;7800000;microempresarial
femenino;servicio;recreativoeducativo;castilla;3;5;2018-12-17;7500000;microempresarial
masculino;comercio;distribuidorade;villahermosa;3;8;2017-08-04;7300000;microempresarial
femenino;comercio;restaurante;manriquecentralno.1;2;4;2018-09-27;6000000;microempresarial
femenino;comercio;almacenderopaen;buenosaires;3;9;2017-06-14;7300000;microempresarial
femenino;comercio;tallerdeelectronica;barriocaicedo;1;9;2018-11-14;3000000;microempresarial
femenino;industria;fabricade;castilla;3;5;2019-01-04;7800000;microempresarial
femenino;comercio;variedades;lapradera;2;13;2017-07-10;7370000;microempresarial
masculino;servicio;productosdebelleza;robledo;2;4;2018-07-10;5000000;microempresarial
femenino;industria;fabricademuebles;castilla;3;5;2017-09-22;4000000;microempresarial
masculino;industria;fabricade;buenosaires;3;9;2019-06-12;2500000;microempresarial
femenino;industria;fabricade;sanpablo;2;1;2018-02-21;1000000;microempresarial
masculino;comercio;almacenderopaen;robledo;2;7;2017-07-10;7377000;microempresarial
femenino;comercio;tienda;manriquecentralno.2;3;3;2019-05-22;5000000;microempresarial
femenino;comercio;comidasrapidas;robledo;2;7;2017-01-27;4000000;microempresarial
femenino;comercio;variedades;jardinbotanico;2;3;2019-01-30;4000000;microempresarial
masculino;industria;fabricade;manriqueoriental;1;3;2018-10-03;7800000;microempresarial
masculino;servicio;lavanderia;robledo;3;7;2018-07-09;7800000;microempresarial
femenino;industria;fabricade;buenosaires;1;9;2018-07-12;4000000;microempresarial
femenino;comercio;ventadecalzado;belen;2;16;2016-10-19;4000000;microempresarial
masculino;servicio;tallerdeelectronica;sanjavierno.1;3;13;2019-02-15;8122200;microempresarial
masculino;comercio;tienda;manriquecentralno.1;3;4;2018-05-10;7800000;microempresarial
masculino;comercio;papeleria;elsalvador;3;9;2019-04-26;7000000;microempresarial
masculino;comercio;carpinteria;cabecerasancristobal;2;60;2018-08-01;3000000;microempresarial
masculino;industria;ebanistaria;belencito;2;13;2016-11-04;4000000;microempresarial
masculino;industria;fabricade;cabecerasancristobal;2;60;2018-12-19;4000000;microempresarial
masculino;comercio;tienda;sanantonio;3;8;2019-06-21;4500000;microempresarial
femenino;servicio;criaderodeanimales;belen;2;16;2017-03-09;4000000;microempresarial
femenino;comercio;variedades;miranda;2;4;2018-02-01;2000000;microempresarial
femenino;industria;fabricade;tejelo;3;5;2017-04-24;5000000;microempresarial
masculino;servicio;recreativoeducativo;laesperanza;3;6;2016-03-07;6890000;microempresarial
masculino;industria;ebanistaria;belencito;2;13;2018-05-18;2000000;microempresarial
femenino;industria;fabricade;lasesmeraldas;2;4;2018-03-06;3000000;microempresarial
femenino;servicio;recreativoeducativo;robledo;2;7;2016-05-19;2000000;microempresarial
masculino;comercio;comidasrapidas;barriocaicedo;1;9;2018-10-03;7500000;microempresarial
masculino;comercio;restaurante;belen;2;16;2017-02-23;5000000;microempresarial
masculino;industria;comidasrapidas;moravia;2;4;2018-06-27;3500000;microempresarial
masculino;industria;fabricadeproductos;santander;2;6;2017-08-18;7377000;microempresarial
masculino;industria;panaderia;castilla;2;5;2017-05-16;7370000;microempresarial
femenino;comercio;variedades;buenosaires;3;9;2017-02-15;6800000;microempresarial
masculino;industria;fabricade;campovaldesno.1;2;4;2018-03-07;6000000;microempresarial
femenino;comercio;almacenderopaen;aranjuez;2;4;2018-08-13;7812242;microempresarial
femenino;servicio;mantenimientoen;docedeoctubreno.1;1;6;2017-01-27;6000000;microempresarial
femenino;comercio;variedades;santander;2;6;2018-06-21;6000000;microempresarial
femenino;industria;fabricade;campovaldesno.1;3;4;2017-11-30;7000000;microempresarial
